Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_1206_3216Metric",183.225000,-209.295000,180.000000,top
"C2","47uF","C_1206_3216Metric",183.225000,-205.460000,180.000000,top
"C3","47uF","C_1206_3216Metric",183.225000,-193.215000,180.000000,top
"C4","47uF","C_1206_3216Metric",183.225000,-189.295000,180.000000,top
"C5","22uF","C_0603_1608Metric",212.000000,-193.675000,180.000000,top
"C6","100nF","C_0603_1608Metric",169.275000,-269.675000,180.000000,top
"C7","100nF","C_0603_1608Metric",236.280000,-129.640000,0.000000,top
"C8","1uF","C_0603_1608Metric",158.880000,-272.845000,90.000000,top
"C9","1uF","C_0603_1608Metric",246.675000,-126.480000,-90.000000,top
"C10","0.01uF","C_0603_1608Metric",222.230000,-271.250000,-90.000000,top
"C11","220pF","C_0603_1608Metric",172.360000,-272.845000,90.000000,top
"C12","220pF","C_0603_1608Metric",233.195000,-126.480000,-90.000000,top
"C13","0.01uF","C_0603_1608Metric",183.340000,-128.230000,90.000000,top
"C14","220pF","C_0603_1608Metric",164.920000,-272.845000,-90.000000,top
"C15","220pF","C_0603_1608Metric",240.635000,-126.480000,90.000000,top
"C16","0.01uF","C_0603_1608Metric",241.090000,-271.250000,-90.000000,top
"C17","0.01uF","C_0603_1608Metric",164.885000,-128.235000,90.000000,top
"C18","100nF","C_0603_1608Metric",263.730000,-269.715000,180.000000,top
"C19","100nF","C_0603_1608Metric",328.790000,-129.700000,0.000000,top
"C20","1uF","C_0603_1608Metric",253.335000,-272.880000,90.000000,top
"C21","1uF","C_0603_1608Metric",339.605000,-126.470000,-90.000000,top
"C22","220pF","C_0603_1608Metric",266.815000,-272.880000,90.000000,top
"C23","220pF","C_0603_1608Metric",325.705000,-126.590000,-90.000000,top
"C24","0.01uF","C_0603_1608Metric",315.505000,-271.250000,-90.000000,top
"C25","0.01uF","C_0603_1608Metric",276.270000,-128.095000,90.000000,top
"C26","220pF","C_0603_1608Metric",259.375000,-272.880000,-90.000000,top
"C27","220pF","C_0603_1608Metric",333.145000,-126.555000,90.000000,top
"C28","0.01uF","C_0603_1608Metric",334.440000,-271.250000,-90.000000,top
"C29","0.01uF","C_0603_1608Metric",257.810000,-128.095000,90.000000,top
"C30",".022uF","C_0603_1608Metric",412.470000,-271.810000,90.000000,top
"C31","100nF","C_0603_1608Metric",422.990000,-129.740000,0.000000,top
"C32","100nF","C_0603_1608Metric",221.405000,-124.255000,-90.000000,top
"C33","1uF","C_0603_1608Metric",433.385000,-126.530000,-90.000000,top
"C34","C_Polarized_US","C_1206_3216Metric",225.325000,-124.425000,0.000000,top
"C35","220pF","C_0603_1608Metric",419.900000,-126.530000,-90.000000,top
"C36","0.01uF","C_0603_1608Metric",369.850000,-128.160000,90.000000,top
"C37","100nF","C_0603_1608Metric",183.155000,-276.015000,90.000000,top
